t (s)	ag (m/s^2)
6.18	0.0000132
6.2	-0.0000104
6.22	-0.0000012
6.24	-0.0000301
6.26	0.000027
6.28	-0.0000426
6.3	0.0000535
6.32	-0.0000454
6.34	0
6.36	-0.0000271
6.38	0.0000124
6.4	-0.0000114
6.42	0.0000168
6.44	-0.0000336
6.46	0.0000274
6.48	-0.0000241
6.5	0.0000401
6.52	-0.0000288
6.54	-0.0000009
6.56	-0.0000224
6.58	0.0000417
6.6	-0.000037
6.62	0.0000116
6.64	-0.000015
6.66	-0.0000076
6.68	-0.0000183
6.7	0.0000173
6.72	-0.0000305
6.74	0.0000276
6.76	-0.000023
6.78	0.0000259
6.8	-0.0000344
6.82	0.0000245
6.84	-0.000022
6.86	0.0000308
6.88	-0.0000415
6.9	0.0000289
6.92	-0.0000163
6.94	-0.000003
6.96	-0.0000296
6.98	0.0000435
7	-0.0000225
7.02	-0.0000009
7.04	-0.0000575
7.06	0.0000472
7.08	-0.0000161
7.1	0.000017
7.12	-0.0000433
7.14	0.0000551
7.16	-0.0000206
7.18	0.0000107
7.2	-0.0000241
7.22	0.0000313
7.24	-0.0000456
7.26	0.0000052
7.28	-0.0000182
7.3	0.0000293
7.32	-0.0000269
7.34	0.0000248
7.36	-0.0000251
7.38	0.0000351
7.4	-0.0000205
7.42	0.0000131
7.44	-0.0000011
7.46	0.0000176
7.48	-0.0000343
7.5	0.0000262
7.52	-0.0000394
7.54	0.0000376
7.56	-0.0000365
7.58	0.0000304
7.6	-0.000029
7.62	0.0000079
7.64	-0.0000073
7.66	0.0000273
7.68	-0.0000699
7.7	0.0000586
7.72	-0.0000682
7.74	0.000035
7.76	-0.0000021
7.78	-0.0000015
7.8	-0.0000344
7.82	0.0000357
7.84	-0.0000425
7.86	0.0000488
7.88	-0.000037
7.9	0.0000165
7.92	-0.000029
7.94	0.0000126
7.96	-0.0000294
7.98	0.0000356
8	-0.0000452
8.02	0.0000473
8.04	-0.0000429
8.06	0.0000302
8.08	-0.0000185
8.1	0.0000256
8.12	-0.0000339
8.14	0.000035
8.16	-0.0000047
8.18	0.0000364
8.2	-0.0000456
8.22	0.0000455
8.24	-0.0000241
8.26	0.00003
8.28	-0.0000211
8.3	0.0000419
8.32	-0.0000345
8.34	0.0000148
8.36	-0.0000318
8.38	0.0000405
8.4	-0.0000381
8.42	0.0000371
8.44	-0.0000488
8.46	0.000046
8.48	-0.0000359
8.5	0.0000554
8.52	-0.0000591
8.54	0.000055
8.56	-0.0000994
8.58	0.0000214
8.6	0.0001566
8.62	-0.0000473
8.64	-0.000147
8.66	0.0001013
8.68	-0.0000027
8.7	-0.0000248
