t (s)	ag  (m/s^2)
0	-0.0077
0.005	-0.0025
0.01	-0.0019
0.015	0.0035
0.02	0.0069
0.025	0.0037
0.03	0.0008
0.035	-0.0013
0.04	-0.0061
0.045	-0.0157
0.05	-0.0194
0.055	-0.0133
0.06	-0.0082
0.065	-0.0052
0.07	-0.0012
0.075	-0.0036
0.08	-0.0037
0.085	0.0065
0.09	0.0158
0.095	0.0187
0.1	0.0125
0.105	0.0033
0.11	-0.0086
0.115	-0.0218
0.12	-0.0245
0.125	-0.0188
0.13	-0.0102
0.135	-0.0032
0.14	0.0018
0.145	0.0008
0.15	-0.0029
0.155	0.003
0.16	0.0096
0.165	0.0146
0.17	0.0196
0.175	0.0177
0.18	0.014
0.185	0.0069
0.19	-0.0035
0.195	-0.0115
0.2	-0.0176
0.205	-0.0134
0.21	0.0032
0.215	0.0168
0.22	0.0173
0.225	0.0049
0.23	-0.007
0.235	-0.0127
0.24	-0.0159
0.245	-0.0052
0.25	0.0098
0.255	0.014
0.26	0.0107
0.265	0.0036
0.27	-0.0007
0.275	-0.0046
0.28	-0.0056
0.285	0.0009
0.29	0.0056
0.295	0.0042
0.3	0.0016
0.305	-0.0025
0.31	-0.0085
0.315	-0.0111
0.32	-0.0073
0.325	0.0011
0.33	0.0088
0.335	0.0088
0.34	0.0016
0.345	-0.0044
0.35	-0.0022
0.355	0.0092
0.36	0.0183
0.365	0.012
0.37	-0.0054
0.375	-0.0229
0.38	-0.0393
0.385	-0.0385
0.39	-0.0125
0.395	0.0054
0.4	0.0143
0.405	0.0273
0.41	0.0262
0.415	0.0164
0.42	0.0173
0.425	0.0228
0.43	0.0279
0.435	0.0359
0.44	0.0348
0.445	0.0169
0.45	-0.0097
0.455	-0.0327
0.46	-0.0491
0.465	-0.0555
0.47	-0.0412
0.475	-0.0131
0.48	0.017
0.485	0.0409
0.49	0.0446
0.495	0.0273
0.5	-0.0024
0.505	-0.0346
0.51	-0.0551
0.515	-0.055
0.52	-0.0303
0.525	-0.0044
0.53	0.0094
0.535	0.008
0.54	-0.0194
0.545	-0.0417
0.55	-0.0315
0.555	0.0099
0.56	0.053
0.565	0.0757
0.57	0.0584
0.575	0.0114
0.58	-0.0175
0.585	-0.0279
0.59	-0.0259
0.595	-0.0072
0.6	0.0126
0.605	0.0148
0.61	0.0055
0.615	-0.0016
0.62	-0.0107
0.625	-0.0136
0.63	-0.0068
0.635	0.0075
0.64	0.0303
0.645	0.0407
0.65	0.0372
0.655	0.0233
0.66	-0.0018
0.665	-0.0219
0.67	-0.0378
0.675	-0.0364
0.68	-0.0118
0.685	0.0137
0.69	0.0251
0.695	0.0148
0.7	-0.0087
0.705	-0.0243
0.71	-0.024
0.715	-0.0245
0.72	-0.0179
0.725	-0.0002
0.73	0.0062
0.735	0.0003
0.74	-0.0093
0.745	-0.0225
0.75	-0.0277
0.755	-0.0056
0.76	0.0247
0.765	0.0344
0.77	0.0196
0.775	-0.0093
0.78	-0.0281
0.785	-0.0333
0.79	-0.0325
0.795	-0.0058
0.8	0.0362
0.805	0.0622
0.81	0.053
0.815	0.0195
0.82	-0.0134
0.825	-0.0479
0.83	-0.0602
0.835	-0.0321
0.84	0.004
0.845	0.0245
0.85	0.0284
0.855	0.008
0.86	-0.0264
0.865	-0.0509
0.87	-0.058
0.875	-0.032
0.88	0.0129
0.885	0.0418
0.89	0.0451
0.895	0.0223
0.9	0.0021
0.905	0.0002
0.91	0.0105
0.915	0.0275
0.92	0.0414
0.925	0.0483
0.93	0.0304
0.935	-0.0065
0.94	-0.0395
0.945	-0.0661
0.95	-0.0642
0.955	-0.0255
0.96	0.0128
0.965	0.0238
0.97	0.0129
0.975	-0.001
0.98	-0.0124
0.985	-0.0142
0.99	0.0021
0.995	0.0142
1	0.0103
1.005	0.0099
1.01	0.0091
1.015	-0.0043
1.02	-0.0165
1.025	-0.0123
1.03	-0.0004
1.035	-0.0034
1.04	-0.0139
1.045	-0.0187
1.05	-0.0223
1.055	-0.0158
1.06	0.0045
1.065	0.0154
1.07	0.0146
1.075	0.0193
1.08	0.0216
1.085	0.017
1.09	0.0128
1.095	0.0136
1.1	0.0193
1.105	0.0282
1.11	0.0335
1.115	0.0171
1.12	-0.0102
1.125	-0.0225
1.13	-0.0093
1.135	0.0158
1.14	0.0265
1.145	0.0205
1.15	0.0082
1.155	-0.0029
1.16	-0.0102
1.165	-0.0147
1.17	-0.0184
1.175	-0.0233
1.18	-0.0261
1.185	-0.0277
1.19	-0.027
1.195	-0.0192
1.2	-0.0081
1.205	-0.0069
1.21	-0.0255
1.215	-0.0536
1.22	-0.0629
1.225	-0.0336
1.23	0.0151
1.235	0.0567
1.24	0.0754
1.245	0.0624
1.25	0.0377
1.255	0.0223
1.26	0.0159
1.265	0.0094
1.27	0.0077
1.275	0.014
1.28	-0.0017
1.285	-0.0253
1.29	-0.0337
1.295	-0.0392
1.3	-0.0271
1.305	0.0011
1.31	0.0206
1.315	0.0281
1.32	0.0228
1.325	0.0121
1.33	0.0056
1.335	-0.0023
1.34	-0.0059
1.345	0.0076
1.35	0.0255
1.355	0.0306
1.36	0.0251
1.365	0.0125
1.37	-0.0014
1.375	-0.0024
1.38	0.015
1.385	0.02
1.39	0.0085
1.395	-0.0007
1.4	-0.0061
1.405	-0.0069
1.41	-0.0118
1.415	-0.02
1.42	-0.0322
1.425	-0.0323
1.43	-0.0143
1.435	0.0001
1.44	0.0123
1.445	0.0228
1.45	0.0216
1.455	0.0052
1.46	-0.0108
1.465	-0.0156
1.47	-0.0172
1.475	-0.0109
1.48	-0.0115
1.485	-0.0266
1.49	-0.0402
1.495	-0.0449
1.5	-0.0178
1.505	0.0288
1.51	0.0657
1.515	0.0718
1.52	0.0434
1.525	0.0073
1.53	-0.0266
1.535	-0.0414
1.54	-0.022
1.545	0.0112
1.55	0.0224
1.555	0.0145
1.56	0.0027
1.565	-0.0108
1.57	-0.0147
1.575	-0.0098
1.58	-0.0026
1.585	0.0028
1.59	0.0125
1.595	0.0384
1.6	0.0571
1.605	0.0532
1.61	0.039
1.615	0.0149
1.62	-0.0127
1.625	-0.0286
1.63	-0.0209
1.635	0.0013
1.64	0.0142
1.645	0.0098
1.65	-0.0061
1.655	-0.0233
1.66	-0.0286
1.665	-0.0099
1.67	0.0193
1.675	0.0403
1.68	0.0463
1.685	0.0348
1.69	0.0132
1.695	-0.0211
1.7	-0.0531
1.705	-0.0629
1.71	-0.0543
1.715	-0.0253
1.72	0.0186
1.725	0.0575
1.73	0.0686
1.735	0.0362
1.74	-0.0159
1.745	-0.058
1.75	-0.0643
1.755	-0.0207
1.76	0.035
1.765	0.081
1.77	0.1031
1.775	0.08
1.78	0.0246
1.785	-0.0439
1.79	-0.0993
1.795	-0.0957
1.8	-0.0444
1.805	-0.009
1.81	0.0156
1.815	0.044
1.82	0.0471
1.825	0.027
1.83	0.0057
1.835	-0.0084
1.84	-0.0122
1.845	-0.0068
1.85	-0.0011
1.855	-0.0017
1.86	0.0012
1.865	0.0108
1.87	0.0135
1.875	-0.0024
1.88	-0.0255
1.885	-0.0425
1.89	-0.0288
1.895	0.0101
1.9	0.0324
1.905	0.0312
1.91	0.0074
1.915	-0.0232
1.92	-0.0353
1.925	-0.0144
1.93	0.0214
1.935	0.0484
1.94	0.0427
1.945	0.0006
1.95	-0.043
1.955	-0.0616
1.96	-0.0413
1.965	0.0071
1.97	0.0504
1.975	0.0626
1.98	0.0386
1.985	0.0007
1.99	-0.0196
1.995	-0.0185
2	-0.0078
2.005	-0.0033
2.01	-0.0054
2.015	-0.0074
2.02	-0.0074
2.025	0.0058
2.03	0.0289
2.035	0.0356
2.04	0.0302
2.045	0.0319
2.05	0.0339
2.055	0.0305
2.06	0.0141
2.065	-0.0045
2.07	-0.0205
2.075	-0.0241
2.08	0.0087
2.085	0.0419
2.09	0.0489
2.095	0.0395
2.1	-0.0005
2.105	-0.051
2.11	-0.0885
2.115	-0.0938
2.12	-0.0449
2.125	0.0228
2.13	0.081
2.135	0.0761
2.14	0.0065
2.145	-0.0602
2.15	-0.104
2.155	-0.0951
2.16	-0.0408
2.165	0.0023
2.17	0.0205
2.175	0.0134
2.18	-0.0298
2.185	-0.078
2.19	-0.1027
2.195	-0.0927
2.2	-0.0388
2.205	0.0259
2.21	0.076
2.215	0.0865
2.22	0.0522
2.225	0.0126
2.23	-0.0268
2.235	-0.0608
2.24	-0.0661
2.245	-0.0355
2.25	0.0185
2.255	0.068
2.26	0.0918
2.265	0.0707
2.27	0.0276
2.275	0.0042
2.28	0.0048
2.285	0.0262
2.29	0.0435
2.295	0.0336
2.3	0.0054
2.305	-0.0249
2.31	-0.0456
2.315	-0.046
2.32	-0.0292
2.325	0.0048
2.33	0.0459
2.335	0.0631
2.34	0.0607
2.345	0.0469
2.35	0.0239
2.355	0.0013
2.36	-0.0188
2.365	-0.0234
2.37	-0.0199
2.375	-0.0289
2.38	-0.0445
2.385	-0.0605
2.39	-0.0762
2.395	-0.0647
2.4	-0.0207
2.405	0.0156
2.41	0.0291
2.415	0.0364
2.42	0.0357
2.425	0.0114
2.43	-0.0166
2.435	-0.0263
2.44	-0.0201
2.445	0.0021
2.45	0.0074
2.455	-0.0353
2.46	-0.0897
2.465	-0.1077
2.47	-0.0798
2.475	-0.0191
2.48	0.0603
2.485	0.1276
2.49	0.1316
2.495	0.0543
2.5	-0.023
2.505	-0.0602
2.51	-0.0609
2.515	0.0102
2.52	0.1027
2.525	0.142
2.53	0.0652
2.535	-0.0945
2.54	-0.2061
2.545	-0.2548
2.55	-0.2112
2.555	-0.0724
2.56	0.0585
2.565	0.1522
2.57	0.195
2.575	0.1481
2.58	0.0307
2.585	-0.0599
2.59	-0.1035
2.595	-0.0787
2.6	0.027
2.605	0.125
2.61	0.181
2.615	0.1242
2.62	-0.0525
2.625	-0.1939
2.63	-0.2751
2.635	-0.2947
2.64	-0.1701
2.645	0.02
2.65	0.1583
2.655	0.2429
2.66	0.1887
2.665	0.0271
2.67	-0.0705
2.675	-0.1335
2.68	-0.1315
2.685	-0.0305
2.69	0.0494
2.695	0.074
2.7	0.0452
2.705	-0.0173
2.71	-0.0578
2.715	-0.0679
2.72	-0.0483
2.725	-0.0026
2.73	0.0358
2.735	0.0417
2.74	0.0205
2.745	-0.0001
2.75	0.0026
2.755	0.0239
2.76	0.0415
2.765	0.0444
2.77	0.0314
2.775	0.0096
2.78	-0.0136
2.785	-0.0308
2.79	-0.0271
2.795	-0.0128
2.8	-0.0009
2.805	-0.0008
2.81	-0.0156
2.815	-0.0316
2.82	-0.052
2.825	-0.0687
2.83	-0.0571
2.835	0.0049
2.84	0.094
2.845	0.1585
2.85	0.1496
2.855	0.0384
2.86	-0.0935
2.865	-0.1856
2.87	-0.2436
2.875	-0.2281
2.88	-0.1084
2.885	0.04
2.89	0.1437
2.895	0.186
2.9	0.0846
2.905	-0.0817
2.91	-0.174
2.915	-0.1789
2.92	-0.0522
2.925	0.0937
2.93	0.1678
2.935	0.1756
2.94	0.0903
2.945	0.0087
2.95	-0.0325
2.955	-0.0454
2.96	-0.0165
2.965	0.0201
2.97	0.0445
2.975	0.0498
2.98	0.0508
2.985	0.0609
2.99	0.0596
2.995	0.0458
3	0.0363
3.005	0.0216
3.01	0.0089
3.015	0.0073
3.02	0.0018
3.025	0.0007
3.03	0.0028
3.035	0.0001
3.04	-0.0053
3.045	-0.0318
3.05	-0.0829
3.055	-0.1315
3.06	-0.1546
3.065	-0.1243
3.07	-0.048
3.075	0.0243
3.08	0.0714
3.085	0.0608
3.09	-0.0013
3.095	-0.0442
3.1	-0.0637
3.105	-0.0391
3.11	0.0264
3.115	0.0595
3.12	0.0374
3.125	-0.024
3.13	-0.0725
3.135	-0.0915
3.14	-0.0834
3.145	-0.0457
3.15	0.0002
3.155	0.0594
3.16	0.1132
3.165	0.1421
3.17	0.1424
3.175	0.0987
3.18	0.0399
3.185	0.0022
3.19	-0.0246
3.195	-0.0325
3.2	-0.0188
3.205	-0.0382
3.21	-0.0883
3.215	-0.128
3.22	-0.1604
3.225	-0.1507
3.23	-0.0806
3.235	0.0035
3.24	0.0712
3.245	0.0991
3.25	0.0846
3.255	0.0539
3.26	0.0313
3.265	0.0311
3.27	0.0552
3.275	0.0982
3.28	0.1271
3.285	0.0963
3.29	0.0034
3.295	-0.0813
3.3	-0.1377
3.305	-0.1502
3.31	-0.0803
3.315	0.0029
3.32	0.0772
3.325	0.1456
3.33	0.1739
3.335	0.1726
3.34	0.1494
3.345	0.109
3.35	0.0677
3.355	0.0298
3.36	0.0048
3.365	-0.0052
3.37	-0.0368
3.375	-0.0958
3.38	-0.1405
3.385	-0.1508
3.39	-0.1168
3.395	-0.0598
3.4	-0.0182
3.405	-0.0006
3.41	-0.0076
3.415	-0.0135
3.42	-0.0059
3.425	0.0075
3.43	0.0335
3.435	0.0576
3.44	0.0533
3.445	0.0185
3.45	-0.019
3.455	-0.0535
3.46	-0.0803
3.465	-0.0707
3.47	-0.0185
3.475	0.0541
3.48	0.1074
3.485	0.1123
3.49	0.0598
3.495	-0.006
3.5	-0.048
3.505	-0.0642
3.51	-0.023
3.515	0.0436
3.52	0.0814
3.525	0.0718
3.53	0.0208
3.535	-0.025
3.54	-0.0474
3.545	-0.0584
3.55	-0.0607
3.555	-0.0462
3.56	-0.0063
3.565	0.0297
3.57	0.0281
3.575	0.0094
3.58	-0.0077
3.585	-0.0079
3.59	0.0354
3.595	0.0993
3.6	0.1328
3.605	0.1245
3.61	0.08
3.615	0.0155
3.62	-0.0377
3.625	-0.066
3.63	-0.0461
3.635	0.0228
3.64	0.0691
3.645	0.0146
3.65	-0.1115
3.655	-0.2126
3.66	-0.2524
3.665	-0.1815
3.67	-0.0149
3.675	0.1086
3.68	0.1716
3.685	0.1794
3.69	0.1226
3.695	0.061
3.7	0.0467
3.705	0.0989
3.71	0.1545
3.715	0.1587
3.72	0.0928
3.725	-0.0252
3.73	-0.1245
3.735	-0.1778
3.74	-0.2085
3.745	-0.2119
3.75	-0.1887
3.755	-0.1349
3.76	-0.0541
3.765	0.0017
3.77	0.0351
3.775	0.0812
3.78	0.1241
3.785	0.1367
3.79	0.1178
3.795	0.0715
3.8	0.0243
3.805	-0.0109
3.81	-0.031
3.815	-0.0265
3.82	-0.0205
3.825	-0.0111
3.83	0.0014
3.835	-0.0021
3.84	-0.0033
3.845	0.0099
3.85	0.0181
3.855	0.0235
3.86	0.0383
3.865	0.0547
3.87	0.0609
3.875	0.0434
3.88	0.0089
3.885	-0.0248
3.89	-0.049
3.895	-0.056
3.9	-0.038
3.905	0.0003
3.91	0.0393
3.915	0.0607
3.92	0.0652
3.925	0.0543
3.93	0.0403
3.935	0.0365
3.94	0.0326
3.945	0.0246
3.95	0.0149
3.955	0.0048
3.96	-0.0138
3.965	-0.0296
3.97	-0.0226
3.975	0.0026
3.98	0.0385
3.985	0.0706
3.99	0.0951
3.995	0.1093
4	0.1056
4.005	0.095
4.01	0.0619
4.015	-0.006
4.02	-0.0772
4.025	-0.1314
4.03	-0.1595
4.035	-0.145
4.04	-0.0904
4.045	-0.0229
4.05	0.0349
4.055	0.0707
4.06	0.0954
4.065	0.1109
4.07	0.1037
4.075	0.0914
4.08	0.0743
4.085	0.0373
4.09	-0.0127
4.095	-0.0537
4.1	-0.0832
4.105	-0.0995
4.11	-0.0784
4.115	-0.033
4.12	0.0038
4.125	0.0289
4.13	0.0517
4.135	0.0698
4.14	0.0793
4.145	0.0822
4.15	0.0813
4.155	0.0834
4.16	0.08
4.165	0.055
4.17	0.0128
4.175	-0.0446
4.18	-0.0984
4.185	-0.1299
4.19	-0.151
4.195	-0.1593
4.2	-0.143
4.205	-0.1012
4.21	-0.0465
4.215	-0.0118
4.22	-0.0083
4.225	-0.0176
4.23	-0.0139
4.235	0.0295
4.24	0.1012
4.245	0.1504
4.25	0.1216
4.255	0.0334
4.26	-0.0424
4.265	-0.087
4.27	-0.0659
4.275	0.051
4.28	0.1801
4.285	0.2575
4.29	0.2889
4.295	0.2646
4.3	0.204
4.305	0.1505
4.31	0.1047
4.315	0.0533
4.32	0.0078
4.325	-0.0226
4.33	-0.0424
4.335	-0.0565
4.34	-0.0768
4.345	-0.103
4.35	-0.1309
4.355	-0.1571
4.36	-0.1658
4.365	-0.1253
4.37	-0.0361
4.375	0.0447
4.38	0.1094
4.385	0.1316
4.39	0.0738
4.395	-0.0062
4.4	-0.0646
4.405	-0.1018
4.41	-0.1067
4.415	-0.0834
4.42	-0.0773
4.425	-0.0976
4.43	-0.1159
4.435	-0.103
4.44	-0.0305
4.445	0.0612
4.45	0.1153
4.455	0.1303
4.46	0.1182
4.465	0.0986
4.47	0.0848
4.475	0.0666
4.48	0.0397
4.485	0.0121
4.49	-0.0084
4.495	-0.0075
4.5	0.0311
4.505	0.0842
4.51	0.1189
4.515	0.1092
4.52	0.0697
4.525	0.0401
4.53	0.0245
4.535	0.0432
4.54	0.0745
4.545	0.0761
4.55	0.0489
4.555	0.0163
4.56	0.0032
4.565	0.0027
4.57	0.0188
4.575	0.0417
4.58	0.0283
4.585	-0.023
4.59	-0.0652
4.595	-0.0777
4.6	-0.0419
4.605	0.0317
4.61	0.0848
4.615	0.0862
4.62	0.0207
4.625	-0.071
4.63	-0.1478
4.635	-0.2011
4.64	-0.1855
4.645	-0.0983
4.65	-0.0232
4.655	0.0146
4.66	0.0501
4.665	0.0828
4.67	0.1165
4.675	0.1483
4.68	0.1488
4.685	0.1011
4.69	0.041
4.695	0.0014
4.7	-0.0247
4.705	-0.0274
4.71	-0.0123
4.715	-0.0092
4.72	-0.0204
4.725	-0.0271
4.73	-0.0142
4.735	0.0089
4.74	0.0248
4.745	0.0184
4.75	-0.033
4.755	-0.0942
4.76	-0.1383
4.765	-0.1453
4.77	-0.0993
4.775	-0.0523
4.78	-0.0228
4.785	-0.0165
4.79	-0.0396
4.795	-0.0591
4.8	-0.0399
4.805	-0.0042
4.81	0.004
4.815	-0.0313
4.82	-0.0962
4.825	-0.1429
4.83	-0.165
4.835	-0.1638
4.84	-0.1536
4.845	-0.169
4.85	-0.2048
4.855	-0.2372
4.86	-0.2499
4.865	-0.2332
4.87	-0.1807
4.875	-0.0978
4.88	-0.0132
4.885	0.0546
4.89	0.1054
4.895	0.1211
4.9	0.1014
4.905	0.0495
4.91	-0.0494
4.915	-0.1639
4.92	-0.2449
4.925	-0.2965
4.93	-0.336
4.935	-0.3637
4.94	-0.4004
4.945	-0.4575
4.95	-0.5045
4.955	-0.5252
4.96	-0.5193
4.965	-0.4743
4.97	-0.41
4.975	-0.3541
4.98	-0.2958
4.985	-0.2453
4.99	-0.2222
4.995	-0.2186
5	-0.2215
5.005	-0.2161
5.01	-0.2049
5.015	-0.2045
5.02	-0.2133
5.025	-0.2221
5.03	-0.2274
5.035	-0.2305
5.04	-0.2375
5.045	-0.2451
5.05	-0.2458
5.055	-0.2388
5.06	-0.2136
5.065	-0.1612
5.07	-0.1092
5.075	-0.0843
5.08	-0.104
5.085	-0.1565
5.09	-0.1968
5.095	-0.2225
5.1	-0.2326
5.105	-0.2162
5.11	-0.1968
5.115	-0.2151
5.12	-0.282
5.125	-0.3483
5.13	-0.3916
5.135	-0.4181
5.14	-0.3946
5.145	-0.3145
5.15	-0.1905
5.155	-0.0393
5.16	0.0929
5.165	0.2054
5.17	0.2997
5.175	0.3711
5.18	0.4401
5.185	0.5186
5.19	0.6017
5.195	0.658
5.2	0.6946
5.205	0.7195
5.21	0.7336
5.215	0.7541
5.22	0.7701
5.225	0.7723
5.23	0.766
5.235	0.7138
5.24	0.6233
5.245	0.5238
5.25	0.3994
5.255	0.3069
5.26	0.27
5.265	0.2484
5.27	0.2568
5.275	0.3033
5.28	0.3566
5.285	0.4282
5.29	0.5076
5.295	0.5536
5.3	0.5778
5.305	0.5773
5.31	0.556
5.315	0.5272
5.32	0.493
5.325	0.4702
5.33	0.4403
5.335	0.383
5.34	0.3155
5.345	0.2441
5.35	0.1736
5.355	0.122
5.36	0.0897
5.365	0.082
5.37	0.072
5.375	0.0132
5.38	-0.0756
5.385	-0.207
5.39	-0.3415
5.395	-0.4069
5.4	-0.4296
5.405	-0.3844
5.41	-0.2731
5.415	-0.1773
5.42	-0.12
5.425	-0.0891
5.43	-0.0674
5.435	-0.0348
5.44	0.026
5.445	0.1103
5.45	0.1809
5.455	0.2054
5.46	0.1818
5.465	0.1333
5.47	0.0315
5.475	-0.0878
5.48	-0.1689
5.485	-0.2446
5.49	-0.2957
5.495	-0.2971
5.5	-0.2551
5.505	-0.1939
5.51	-0.1451
5.515	-0.1147
5.52	-0.0897
5.525	-0.058
5.53	-0.0205
5.535	0.0138
5.54	0.0357
5.545	0.0431
5.55	0.0471
5.555	0.0444
5.56	0.0303
5.565	0.0189
5.57	-0.0173
5.575	-0.0854
5.58	-0.147
5.585	-0.2216
5.59	-0.3093
5.595	-0.3664
5.6	-0.3969
5.605	-0.4129
5.61	-0.4066
5.615	-0.3703
5.62	-0.31
5.625	-0.1917
5.63	-0.0191
5.635	0.1774
5.64	0.4041
5.645	0.5648
5.65	0.6413
5.655	0.6541
5.66	0.5856
5.665	0.4955
5.67	0.3838
5.675	0.247
5.68	0.1436
5.685	0.0876
5.69	0.0251
5.695	-0.066
5.7	-0.1705
5.705	-0.3086
5.71	-0.4678
5.715	-0.5872
5.72	-0.6629
5.725	-0.7157
5.73	-0.7276
5.735	-0.6938
5.74	-0.6292
5.745	-0.5207
5.75	-0.398
5.755	-0.2608
5.76	-0.0263
5.765	0.3059
5.77	0.5987
5.775	0.7882
5.78	0.8947
5.785	0.9282
5.79	0.9148
5.795	0.8635
5.8	0.7867
5.805	0.6745
5.81	0.5238
5.815	0.3622
5.82	0.2136
5.825	0.0365
5.83	-0.1236
5.835	-0.1979
5.84	-0.2308
5.845	-0.2008
5.85	-0.0955
5.855	0.058
5.86	0.2242
5.865	0.3392
5.87	0.4399
5.875	0.5642
5.88	0.6578
5.885	0.7062
5.89	0.709
5.895	0.6406
5.9	0.5504
5.905	0.4719
5.91	0.375
5.915	0.2887
5.92	0.2417
5.925	0.1627
5.93	-0.0074
5.935	-0.1652
5.94	-0.2715
5.945	-0.3609
5.95	-0.4142
5.955	-0.453
5.96	-0.4895
5.965	-0.5154
5.97	-0.527
5.975	-0.4916
5.98	-0.4165
5.985	-0.3475
5.99	-0.2761
5.995	-0.2236
6	-0.2276
6.005	-0.2566
6.01	-0.2826
6.015	-0.3157
6.02	-0.3533
6.025	-0.3884
6.03	-0.4548
6.035	-0.5412
6.04	-0.6041
6.045	-0.6477
6.05	-0.6712
6.055	-0.6612
6.06	-0.5986
6.065	-0.5142
6.07	-0.4612
6.075	-0.437
6.08	-0.427
6.085	-0.4252
6.09	-0.3728
6.095	-0.237
6.1	-0.0841
6.105	0.0455
6.11	0.1552
6.115	0.219
6.12	0.2118
6.125	0.1587
6.13	0.1063
6.135	0.0781
6.14	0.0841
6.145	0.1448
6.15	0.2492
6.155	0.3665
6.16	0.4634
6.165	0.5085
6.17	0.5023
6.175	0.4469
6.18	0.3739
6.185	0.3175
6.19	0.2841
6.195	0.2555
6.2	0.1868
6.205	0.0695
6.21	-0.0705
6.215	-0.1898
6.22	-0.2626
6.225	-0.2989
6.23	-0.2969
6.235	-0.2548
6.24	-0.2011
6.245	-0.1402
6.25	-0.0778
6.255	-0.0353
6.26	0.0077
6.265	0.092
6.27	0.2049
6.275	0.2985
6.28	0.3778
6.285	0.4082
6.29	0.3738
6.295	0.3286
6.3	0.2872
6.305	0.251
6.31	0.2314
6.315	0.2195
6.32	0.1999
6.325	0.1608
6.33	0.0726
6.335	-0.0353
6.34	-0.1093
6.345	-0.162
6.35	-0.2101
6.355	-0.2525
6.36	-0.2809
6.365	-0.2925
6.37	-0.263
6.375	-0.165
6.38	-0.0274
6.385	0.0825
6.39	0.1405
6.395	0.1782
6.4	0.187
6.405	0.1755
6.41	0.1642
6.415	0.124
6.42	0.0647
6.425	0.0113
6.43	-0.0572
6.435	-0.1206
6.44	-0.1494
6.445	-0.146
6.45	-0.0927
6.455	-0.0083
6.46	0.0728
6.465	0.1242
6.47	0.1296
6.475	0.1213
6.48	0.1287
6.485	0.1538
6.49	0.2029
6.495	0.3045
6.5	0.4035
6.505	0.4481
6.51	0.4673
6.515	0.4556
6.52	0.4251
6.525	0.4061
6.53	0.3716
6.535	0.2906
6.54	0.1795
6.545	0.0413
6.55	-0.0969
6.555	-0.2028
6.56	-0.2672
6.565	-0.3079
6.57	-0.3336
6.575	-0.3156
6.58	-0.2648
6.585	-0.2176
6.59	-0.1838
6.595	-0.139
6.6	-0.0911
6.605	-0.051
6.61	-0.0184
6.615	-0.0029
6.62	-0.0065
6.625	-0.0128
6.63	-0.0056
6.635	-0.0026
6.64	-0.0018
6.645	0.0011
6.65	-0.0034
6.655	-0.0074
6.66	0.0014
6.665	0.0241
6.67	0.0634
6.675	0.112
6.68	0.1612
6.685	0.2102
6.69	0.258
6.695	0.3148
6.7	0.3597
6.705	0.375
6.71	0.3293
6.715	0.2186
6.72	0.1151
6.725	0.0599
6.73	0.0488
6.735	0.1002
6.74	0.2084
6.745	0.3088
6.75	0.3646
6.755	0.3444
6.76	0.2793
6.765	0.219
6.77	0.1701
6.775	0.1561
6.78	0.1661
6.785	0.1507
6.79	0.1084
6.795	0.0433
6.8	-0.0419
6.805	-0.095
6.81	-0.1193
6.815	-0.1434
6.82	-0.2004
6.825	-0.2792
6.83	-0.3793
6.835	-0.5153
6.84	-0.6204
6.845	-0.689
6.85	-0.7408
6.855	-0.7561
6.86	-0.7244
6.865	-0.6642
6.87	-0.609
6.875	-0.576
6.88	-0.5678
6.885	-0.606
6.89	-0.6744
6.895	-0.7185
6.9	-0.7395
6.905	-0.7183
6.91	-0.6415
6.915	-0.5594
6.92	-0.5072
6.925	-0.4646
6.93	-0.4213
6.935	-0.3241
6.94	-0.1686
6.945	-0.0306
6.95	0.1126
6.955	0.2213
6.96	0.266
6.965	0.2389
6.97	0.1217
6.975	-0.0039
6.98	-0.09
6.985	-0.1466
6.99	-0.1799
6.995	-0.1819
7	-0.2016
7.005	-0.3091
7.01	-0.4539
7.015	-0.6155
7.02	-0.799
7.025	-0.9031
7.03	-0.9372
7.035	-0.9529
7.04	-0.9329
7.045	-0.8971
7.05	-0.8912
7.055	-0.9497
7.06	-1.0236
7.065	-1.0691
7.07	-1.0978
7.075	-1.056
7.08	-0.9422
7.085	-0.8249
7.09	-0.7382
7.095	-0.6786
7.1	-0.6434
7.105	-0.6248
7.11	-0.575
7.115	-0.4958
7.12	-0.3973
7.125	-0.2888
7.13	-0.1775
7.135	-0.0779
7.14	-0.0226
7.145	-0.0026
7.15	-0.0137
7.155	-0.0432
7.16	-0.0549
7.165	-0.0514
7.17	-0.0514
7.175	-0.0464
7.18	-0.0711
7.185	-0.1782
7.19	-0.3079
7.195	-0.4138
7.2	-0.517
7.205	-0.5852
7.21	-0.6113
7.215	-0.6244
7.22	-0.5928
7.225	-0.4827
7.23	-0.3227
7.235	-0.1284
7.24	0.0684
7.245	0.2506
7.25	0.4386
7.255	0.5903
7.26	0.7167
7.265	0.8309
7.27	0.8954
7.275	0.9415
7.28	1.0007
7.285	1.0736
7.29	1.1364
7.295	1.1753
7.3	1.1832
7.305	1.1474
7.31	1.1118
7.315	1.0975
7.32	1.0963
7.325	1.1072
7.33	1.1121
7.335	0.994
7.34	0.7321
7.345	0.4899
7.35	0.2203
7.355	-0.0274
7.36	-0.1221
7.365	-0.1575
7.37	-0.136
7.375	-0.0736
7.38	-0.0158
7.385	0.049
7.39	0.0958
7.395	0.112
7.4	0.1146
7.405	0.098
7.41	0.0245
7.415	-0.0771
7.42	-0.1439
7.425	-0.178
7.43	-0.1147
7.435	0.106
